IPTV,#genre#
CCTV电视指南,http://108m64s098.yicp.fun:8808/rtp/239.253.43.19:5146
CCTV电视指南,http://108m64s098.yicp.fun:8808/rtp/239.253.43.10:5146
CCTV风云足球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.20:5146
CCTV风云足球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.14:5146
CCTV央视台球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.21:5146
CCTV央视台球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.11:5146
CCTV高尔夫网球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.22:5146
CCTV高尔夫网球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.12:5146
CCTV女性时尚,http://108m64s098.yicp.fun:8808/rtp/239.253.43.23:5146
CCTV女性时尚,http://108m64s098.yicp.fun:8808/rtp/239.253.43.8:5146
CCTV世界地理,http://108m64s098.yicp.fun:8808/rtp/239.253.43.24:5146
CCTV世界地理,http://108m64s098.yicp.fun:8808/rtp/239.253.43.7:5146
CCTV怀旧剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.25:5146
CCTV怀旧剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.5:5146
CCTV风云剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.26:5146
CCTV风云剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.16:5146
CCTV央视精品,http://108m64s098.yicp.fun:8808/rtp/239.253.43.27:5146
CCTV央视精品,http://108m64s098.yicp.fun:8808/rtp/239.253.43.13:5146
CCTV第一剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.28:5146
CCTV第一剧场,http://108m64s098.yicp.fun:8808/rtp/239.253.43.15:5146
CCTV风云音乐,http://108m64s098.yicp.fun:8808/rtp/239.253.43.29:5146
CCTV风云音乐,http://108m64s098.yicp.fun:8808/rtp/239.253.43.6:5146
TVB功夫台,https://ali.hlspull.yximgs.com/live/12344.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
横溪影视,https://ali.hlspull.yximgs.com/live/31349012.flv
翡翠台,http://rqd.mytvh.top:10121/stream/channelid/12040790?ticket=2a80fad1c714b798ea347b08e8d73ab33fbab8bb&profile=pass
TVB无线新闻,http://rqd.mytvh.top:10121/stream/channelid/1703015722?ticket=c781af1552ad9f54bbea586c7ec1fca48aa3e0a3&profile=pass
TVB明珠,http://rqd.mytvh.top:10121/stream/channelid/574938701?ticket=10612a68e70eee962808ab825a09a05f42ca965b&profile=pass
TVB财体资讯,http://rqd.mytvh.top:10121/stream/channelid/873797716?ticket=f334b845dd59a1851d2230222f6290596180f317&profile=pass
ViuTV6,http://rqd.mytvh.top:10121/stream/channelid/912548852?ticket=a0fe1c653aa09b2ef80fdcc4f25ad82632895a0d&profile=pass
ViuTV,http://rqd.mytvh.top:10121/stream/channelid/685431756?ticket=3d4fb71397616cf34e4637fddbaa692062da0b29&profile=pass
香港31台,http://rqd.mytvh.top:10121/stream/channelid/150049615?ticket=f8da9b9986adcbdf934344dc5e82b6f536d08ca2&profile=pass
